Lotus 1-2-3;application/vnd.lotus-1-2-3;.123
In3D - 3DML;text/vnd.in3d.3dml;.3dml
3GP2;video/3gpp2;.3g2
3GP;video/3gpp;.3gp
7-Zip;application/x-7z-compressed;.7z
Adobe (Macropedia) Authorware - Binary File;application/x-authorware-bin;.aab
Advanced Audio Coding (AAC);audio/x-aac;.aac
Adobe (Macropedia) Authorware - Map;application/x-authorware-map;.aam
Adobe (Macropedia) Authorware - Segment File;application/x-authorware-seg;.aas
AbiWord;application/x-abiword;.abw
Attribute Certificate;application/pkix-attr-cert;.ac
Active Content Compression;application/vnd.americandynamics.acc;.acc
Ace Archive;application/x-ace-compressed;.ace
ACU Cobol;application/vnd.acucobol;.acu
Adaptive differential pulse-code modulation;audio/adpcm;.adp
Audiograph;application/vnd.audiograph;.aep
MO:DCA-P;application/vnd.ibm.modcap;.afp
Ahead AIR Application;application/vnd.ahead.space;.ahead
PostScript;application/postscript;.ai
Audio Interchange File Format;audio/x-aiff;.aif
Adobe AIR Application;application/vnd.adobe.air-application-installer-package+zip;.air
Digital Video Broadcasting;application/vnd.dvb.ait;.ait
AmigaDE;application/vnd.amiga.ami;.ami
Android Package Archive;application/vnd.android.package-archive;.apk
Microsoft ClickOnce;application/x-ms-application;.application
Lotus Approach;application/vnd.lotus-approach;.apr
Microsoft Advanced Systems Format (ASF);video/x-ms-asf;.asf
Simply Accounting;application/vnd.accpac.simply.aso;.aso
ACU Cobol;application/vnd.acucorp;.atc
Atom Syndication Format;application/atom+xml;.atom
Atom Publishing Protocol;application/atomcat+xml;.atomcat
Atom Publishing Protocol Service Document;application/atomsvc+xml;.atomsvc
Antix Game Player;application/vnd.antix.game-component;.atx
Sun Audio - Au file format;audio/basic;.au
Audio Video Interleave (AVI);video/x-msvideo;.avi
Applixware;application/applixware;.aw
AirZip FileSECURE;application/vnd.airzip.filesecure.azf;.azf
AirZip FileSECURE;application/vnd.airzip.filesecure.azs;.azs
Amazon Kindle eBook format;application/vnd.amazon.ebook;.azw
Binary CPIO Archive;application/x-bcpio;.bcpio
Glyph Bitmap Distribution Format;application/x-font-bdf;.bdf
SyncML - Device Management;application/vnd.syncml.dm+wbxml;.bdm
RealVNC;application/vnd.realvnc.bed;.bed
Fujitsu Oasys;application/vnd.fujitsu.oasysprs;.bh2
Binary Data;application/octet-stream;.bin
BMI Drawing Data Interchange;application/vnd.bmi;.bmi
Bitmap Image File;image/bmp;.bmp
Preview Systems ZipLock/VBox;application/vnd.previewsystems.box;.box
BTIF;image/prs.btif;.btif
Bzip Archive;application/x-bzip;.bz
Bzip2 Archive;application/x-bzip2;.bz2
C Source File;text/x-c;.c
ClueTrust CartoMobile - Config;application/vnd.cluetrust.cartomobile-config;.c11amc
